x,lat,lng,elevation,distance
0,35.134141,139.132082,0,0
1,35.135826,139.129202,0,322
2,35.13751,139.126322,0,644
3,35.139194,139.123441,0,966
4,35.140878,139.12056,0,1288
5,35.142562,139.117679,0,1611
6,35.144246,139.114799,6.62,1933
7,35.145929,139.111917,7.21,2255
8,35.147613,139.109036,12.2,2577
9,35.149297,139.106155,54.41,2899
10,35.15098,139.103273,171.56,3222
11,35.152664,139.100392,177.84,3544
12,35.154347,139.09751,228.21,3866
13,35.15603,139.094628,275.38,4188
14,35.157714,139.091747,433.76,4511
15,35.159397,139.088865,371.74,4833
16,35.16108,139.085982,380.06,5155
17,35.162763,139.0831,503.4,5477
18,35.164446,139.080218,485.39,5799
19,35.166129,139.077335,477.82,6122
20,35.167812,139.074453,580.5,6444
21,35.169495,139.07157,610.92,6766
22,35.171178,139.068687,654.96,7088
23,35.17286,139.065804,628.22,7411
24,35.174543,139.062921,626.64,7733
25,35.176225,139.060038,572.55,8055
26,35.177908,139.057154,723.95,8377
27,35.17959,139.054271,701.94,8699
28,35.181273,139.051387,879.47,9022
29,35.182955,139.048504,976.17,9344
30,35.184637,139.04562,919.16,9666
31,35.186319,139.042736,817,9988
32,35.188001,139.039852,743.06,10310
33,35.189683,139.036968,770.92,10633
34,35.191365,139.034084,864.06,10955
35,35.193047,139.031199,826.52,11277
36,35.194729,139.028315,748.39,11599
37,35.19641,139.02543,756.11,11922
38,35.198092,139.022545,724.5,12244
39,35.199773,139.01966,724.5,12566
40,35.201455,139.016775,724.5,12888
41,35.203136,139.01389,724.5,13210
42,35.204818,139.011005,724.5,13533
43,35.206499,139.00812,724.5,13855
44,35.20818,139.005234,724.5,14177
45,35.209861,139.002349,724.5,14499
46,35.211542,138.999463,724.5,14822
47,35.213223,138.996577,724.5,15144
48,35.214904,138.993691,852.18,15466
49,35.216585,138.990805,851.36,15788
50,35.218266,138.987919,831,16110
51,35.219947,138.985033,880.44,16433
52,35.221627,138.982146,955.14,16755
53,35.223308,138.97926,849.52,17077
54,35.224989,138.976373,831.6,17399
55,35.226669,138.973486,790.01,17721
56,35.228349,138.970599,738.97,18044
57,35.23003,138.967712,848.83,18366
58,35.23171,138.964825,738.3,18688
59,35.23339,138.961938,736.48,19010
60,35.23507,138.95905,672.24,19333
61,35.23675,138.956163,564.02,19655
62,35.23843,138.953275,552.23,19977
63,35.24011,138.950388,497.41,20299
64,35.24179,138.9475,558.28,20621
65,35.24347,138.944612,503.02,20944
66,35.245149,138.941724,462.33,21266
67,35.246829,138.938835,469.66,21588
68,35.248509,138.935947,429.49,21910
69,35.250188,138.933059,454.21,22233
70,35.251867,138.93017,412.27,22555
71,35.253547,138.927281,362.29,22877
72,35.255226,138.924393,355.68,23199
73,35.256905,138.921504,368.91,23521
74,35.258584,138.918615,371.04,23844
75,35.260263,138.915725,371.19,24166
76,35.261942,138.912836,377.62,24488
77,35.263621,138.909947,386.64,24810
78,35.2653,138.907057,390.14,25133
79,35.266979,138.904168,418.41,25455
80,35.268658,138.901278,420.6,25777
81,35.270336,138.898388,443,26099
82,35.272015,138.895498,458.66,26421
83,35.273694,138.892608,471.82,26744
84,35.275372,138.889718,488.4,27066
85,35.27705,138.886827,505.1,27388
86,35.278729,138.883937,519.54,27710
87,35.280407,138.881046,536.54,28032
88,35.282085,138.878156,553.64,28355
89,35.283763,138.875265,575.07,28677
90,35.285441,138.872374,588.99,28999
91,35.287119,138.869483,602.36,29321
92,35.288797,138.866591,613.04,29644
93,35.290475,138.8637,631.71,29966
94,35.292153,138.860809,660.43,30288
95,35.29383,138.857917,672.36,30610
96,35.295508,138.855026,700.15,30932
97,35.297185,138.852134,725.72,31255
98,35.298863,138.849242,741.17,31577
99,35.30054,138.84635,753.68,31899
100,35.302218,138.843458,772.58,32221
101,35.303895,138.840565,795.25,32544
102,35.305572,138.837673,817.62,32866
103,35.307249,138.834781,858.62,33188
104,35.308926,138.831888,883.89,33510
105,35.310603,138.828995,910.5,33832
106,35.31228,138.826102,932.74,34155
107,35.313957,138.823209,973.32,34477
108,35.315634,138.820316,1000.24,34799
109,35.31731,138.817423,1034.34,35121
110,35.318987,138.81453,1059.69,35443
111,35.320664,138.811636,1105.8,35766
112,35.32234,138.808743,1166.58,36088
113,35.324016,138.805849,1219.86,36410
114,35.325693,138.802955,1239.97,36732
115,35.327369,138.800061,1292.52,37055
116,35.329045,138.797167,1360.1,37377
117,35.330721,138.794273,1429.75,37699
118,35.332397,138.791379,1506.66,38021
119,35.334073,138.788484,1561.94,38343
120,35.335749,138.78559,1598.36,38666
121,35.337425,138.782695,1659.43,38988
122,35.339101,138.7798,1726.5,39310
123,35.340777,138.776905,1781.98,39632
124,35.342452,138.77401,1850.02,39955
125,35.344128,138.771115,1953.48,40277
126,35.345804,138.76822,2076.15,40599
127,35.347479,138.765325,2196.53,40921
128,35.349154,138.762429,2306.85,41243
129,35.35083,138.759534,2426.1,41566
130,35.352505,138.756638,2563.4,41888
131,35.35418,138.753742,2703.1,42210
132,35.355855,138.750846,2825.55,42532
133,35.35753,138.74795,2967.9,42854
134,35.359205,138.745054,3087.81,43177
135,35.36088,138.742157,3266.24,43499
136,35.362555,138.739261,3434.59,43821
137,35.36423,138.736364,3600.08,44143
138,35.365904,138.733468,3679.96,44466
139,35.367579,138.730571,3664.9,44788
140,35.369253,138.727674,3567.76,45110
141,35.370928,138.724777,3348.43,45432
142,35.372602,138.72188,3171.53,45754
143,35.374277,138.718982,3019.8,46077
144,35.375951,138.716085,2864.56,46399
145,35.377625,138.713188,2713.03,46721
146,35.379299,138.71029,2566.6,47043
147,35.380973,138.707392,2450.23,47366
148,35.382647,138.704494,2334.42,47688
149,35.384321,138.701596,2240.98,48010
150,35.385995,138.698698,2146.01,48332
151,35.387669,138.6958,2061.63,48654
152,35.389342,138.692902,1963.73,48977
153,35.391016,138.690003,1904.2,49299
154,35.39269,138.687104,1798.99,49621
155,35.394363,138.684206,1748.11,49943
156,35.396036,138.681307,1679.25,50266
157,35.39771,138.678408,1623.73,50588
158,35.399383,138.675509,1590.97,50910
159,35.401056,138.67261,1525.57,51232
160,35.402729,138.66971,1484.72,51554
161,35.404402,138.666811,1429.03,51877
162,35.406075,138.663911,1384.07,52199
163,35.407748,138.661012,1333.51,52521
164,35.409421,138.658112,1306.46,52843
165,35.411094,138.655212,1272.98,53165
166,35.412767,138.652312,1259.24,53488
167,35.414439,138.649412,1222.48,53810
168,35.416112,138.646511,1201.31,54132
169,35.417784,138.643611,1182.32,54454
170,35.419457,138.640711,1160.85,54777
171,35.421129,138.63781,1124.83,55099
172,35.422802,138.634909,1095.73,55421
173,35.424474,138.632008,1081.07,55743
174,35.426146,138.629107,1068.05,56065
175,35.427818,138.626206,1053.28,56388
176,35.42949,138.623305,1049.33,56710
177,35.431162,138.620404,1043.91,57032
178,35.432834,138.617502,1033.52,57354
179,35.434506,138.6146,1022.1,57677
180,35.436177,138.611699,993.63,57999
181,35.437849,138.608797,985.66,58321
182,35.439521,138.605895,970.58,58643
183,35.441192,138.602993,960.52,58965
184,35.442864,138.600091,958.44,59288
185,35.444535,138.597188,1094.28,59610
186,35.446206,138.594286,1203.92,59932
187,35.447878,138.591383,1321.2,60254
188,35.449549,138.588481,1351.64,60576
189,35.45122,138.585578,1215.13,60899
190,35.452891,138.582675,1056.99,61221
191,35.454562,138.579772,973.61,61543
192,35.456233,138.576869,900,61865
193,35.457904,138.573966,900,62188
194,35.459574,138.571062,900,62510
195,35.461245,138.568159,1020.79,62832
196,35.462916,138.565255,1126.56,63154
197,35.464586,138.562351,1155.7,63476
198,35.466257,138.559447,990.05,63799
199,35.467927,138.556543,895.16,64121
200,35.469597,138.553639,723.66,64443
201,35.471268,138.550735,616.85,64765
202,35.472938,138.547831,556.79,65088
203,35.474608,138.544926,502.25,65410
204,35.476278,138.542022,587.23,65732
205,35.477948,138.539117,620.23,66054
206,35.479618,138.536212,622.89,66376
207,35.481288,138.533307,631.41,66699
208,35.482957,138.530402,479.68,67021
209,35.484627,138.527497,427.07,67343
210,35.486297,138.524591,413.4,67665
211,35.487966,138.521686,361.49,67987
212,35.489636,138.51878,505.42,68310
213,35.491305,138.515875,592.32,68632
214,35.492975,138.512969,526.51,68954
215,35.494644,138.510063,405.96,69276
216,35.496313,138.507157,391.72,69599
217,35.497982,138.504251,354.39,69921
218,35.499651,138.501345,487.5,70243
219,35.50132,138.498438,582.16,70565
220,35.502989,138.495532,595.53,70887
221,35.504658,138.492625,563.7,71210
222,35.506327,138.489718,425.04,71532
223,35.507995,138.486811,339.21,71854
224,35.509664,138.483904,312.76,72176
225,35.511333,138.480997,332.88,72499
226,35.513001,138.47809,270.33,72821
227,35.51467,138.475183,332.39,73143
228,35.516338,138.472275,440.61,73465
229,35.518006,138.469368,514.97,73787
230,35.519674,138.46646,422.18,74110
231,35.521343,138.463552,344.44,74432
232,35.523011,138.460644,423.72,74754
233,35.524679,138.457736,363.25,75076
234,35.526347,138.454828,278.95,75399
235,35.528014,138.451919,262,75721
236,35.529682,138.449011,301,76043
237,35.53135,138.446102,409.72,76365
238,35.533018,138.443194,437.7,76687
239,35.534685,138.440285,491.04,77010
240,35.536353,138.437376,501.97,77332
241,35.53802,138.434467,430.96,77654
242,35.539687,138.431558,462.99,77976
243,35.541355,138.428648,456.1,78298
244,35.543022,138.425739,502.93,78621
245,35.544689,138.422829,542,78943
246,35.546356,138.41992,749.23,79265
247,35.548023,138.41701,855.15,79587
248,35.54969,138.4141,821.32,79910
249,35.551357,138.41119,915.92,80232
250,35.553024,138.40828,901.57,80554
251,35.554691,138.40537,1079.27,80876
252,35.556357,138.402459,1161.14,81198
253,35.558024,138.399549,1191.05,81521
254,35.55969,138.396638,1144.26,81843
255,35.561357,138.393728,986.58,82165
256,35.563023,138.390817,929.33,82487
257,35.564689,138.387906,909.89,82810
258,35.566356,138.384995,972.71,83132
259,35.568022,138.382083,1141.8,83454
260,35.569688,138.379172,1243.66,83776
261,35.571354,138.376261,1355.83,84098
262,35.57302,138.373349,1530.88,84421
263,35.574686,138.370437,1599.43,84743
264,35.576352,138.367526,1733.89,85065
265,35.578017,138.364614,1755.81,85387
266,35.579683,138.361702,1878.56,85709
267,35.581349,138.358789,1717.62,86032
268,35.583014,138.355877,1745.04,86354
269,35.58468,138.352965,1776.91,86676
270,35.586345,138.350052,1616.81,86998
271,35.58801,138.347139,1680.01,87321
272,35.589676,138.344227,1644.14,87643
273,35.591341,138.341314,1635.28,87965
274,35.593006,138.338401,1566.79,88287
275,35.594671,138.335488,1438.39,88609
276,35.596336,138.332574,1390.92,88932
277,35.598001,138.329661,1282.63,89254
278,35.599666,138.326747,1348.7,89576
279,35.60133,138.323834,1376.17,89898
280,35.602995,138.32092,1309.46,90221
281,35.60466,138.318006,1337.45,90543
282,35.606324,138.315092,1199.98,90865
283,35.607989,138.312178,916.3,91187
284,35.609653,138.309264,1037.93,91509
285,35.611317,138.306349,1154.9,91832
286,35.612982,138.303435,1372.58,92154
287,35.614646,138.30052,1510.22,92476
288,35.61631,138.297606,1681.01,92798
289,35.617974,138.294691,1732.79,93121
290,35.619638,138.291776,1918.68,93443
291,35.621302,138.288861,2102.67,93765
292,35.622966,138.285946,2213.03,94087
293,35.624629,138.28303,2158.71,94409
294,35.626293,138.280115,2084.51,94732
295,35.627957,138.277199,1918.24,95054
296,35.62962,138.274284,1944.63,95376
297,35.631284,138.271368,1973.99,95698
298,35.632947,138.268452,1841.36,96020
299,35.63461,138.265536,1725.8,96343